Year,Inflation,US Stock Market,US Large Cap,US Large Cap Value,US Large Cap Growth,US Mid Cap,US Mid Cap Value,US Mid Cap Growth,US Small Cap,US Small Cap Value,US Small Cap Growth,US Micro Cap,Global ex-US Stock Market,Intl Developed ex-US Market,International ex-US Small Cap,International ex-US Value,European Stocks,Pacific Stocks,Emerging Markets,Cash,Short Term Treasury,Intermediate Term Treasury,10-year Treasury,Long Term Treasury,Total US Bond Market,TIPS,Global Bonds (Unhedged),Global Bonds (USD Hedged),Short-Term Investment Grade,Corporate Bonds,Long-Term Corporate Bonds,High Yield Corporate Bonds,Short-Term Tax-Exempt,Intermediate-Term Tax-Exempt,Long-Term Tax-Exempt,REIT,Gold,Precious Metals,Commodities
1972,0.0341,0.1762,0.1895,0.1532,0.2297,0.0802,0.1194,0.0429,0.0866,0.1115,0.0636,0.0101,NA,NA,NA,NA,NA,NA,NA,0.0384,NA,0.0272,0.0235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4902,NA,NA
1973,0.0871,-0.1818,-0.1618,-0.0979,-0.2309,-0.2420,-0.1377,-0.3296,-0.3285,-0.2412,-0.4026,-0.3986,NA,NA,NA,NA,NA,NA,NA,0.0693,NA,0.0447,0.0329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7296,NA,NA
1974,0.1234,-0.2781,-0.2693,-0.2113,-0.3234,-0.2634,-0.1980,-0.3264,-0.2759,-0.2109,-0.3372,-0.2456,NA,NA,NA,NA,NA,NA,NA,0.0801,NA,0.0570,0.0405,NA,NA,NA,NA,NA,NA,NA,-0.0227,NA,NA,NA,NA,NA,0.6615,NA,NA
1975,0.0694,0.3782,0.3695,0.4067,0.3310,0.4869,0.5679,0.4195,0.5513,0.5394,0.5663,0.6755,NA,NA,NA,NA,NA,NA,NA,0.0580,NA,0.0736,0.0552,NA,NA,NA,NA,NA,NA,NA,0.0995,NA,NA,NA,NA,NA,-0.2480,NA,NA
1976,0.0486,0.2647,0.2418,0.3332,0.1485,0.3667,0.4679,0.2654,0.4533,0.5478,0.3640,0.4927,NA,NA,NA,NA,NA,NA,NA,0.0508,NA,0.1375,0.1529,NA,NA,NA,NA,NA,NA,NA,0.1535,NA,NA,NA,NA,NA,-0.0410,NA,NA
1977,0.0670,-0.0336,-0.0784,-0.0331,-0.0866,0.0130,0.0524,-0.0212,0.1567,0.1588,0.1536,0.2931,NA,NA,NA,NA,NA,NA,NA,0.0513,0.0291,0.0104,0.0053,NA,NA,NA,NA,NA,NA,NA,0.0498,NA,NA,NA,NA,NA,0.2264,NA,NA
1978,0.0902,0.0845,0.0587,0.0637,0.0711,0.0897,0.0905,0.0880,0.1774,0.1925,0.1660,0.2881,NA,NA,NA,NA,NA,NA,NA,0.0720,0.0335,0.0115,-0.0074,-0.0155,NA,NA,NA,NA,NA,NA,0.0205,NA,0.0231,-0.0465,0.0593,NA,0.3701,NA,NA
1979,0.1329,0.2425,0.1805,0.2322,0.1744,0.3148,0.2984,0.3307,0.4102,0.3780,0.4521,0.4692,NA,NA,NA,NA,NA,NA,NA,0.1038,0.0808,0.0535,0.0183,-0.0210,NA,NA,NA,NA,NA,NA,-0.0077,0.0557,0.0478,-0.0158,-0.0297,NA,1.2655,NA,NA
1980,0.1252,0.3315,0.3192,0.3175,0.3559,0.3076,0.1760,0.4525,0.3578,0.2577,0.4632,0.4143,NA,NA,NA,NA,NA,NA,NA,0.1126,0.0881,0.0288,-0.0129,-0.0499,NA,NA,NA,NA,NA,NA,0.0466,0.0316,0.0530,-0.1035,-0.1600,NA,0.1519,NA,NA
1981,0.0892,-0.0415,-0.0521,-0.0148,-0.0620,0.0410,0.1020,-0.0174,0.0436,0.1569,-0.0582,-0.0330,NA,NA,NA,NA,NA,NA,NA,0.1472,0.1426,0.0941,0.0528,0.0065,NA,NA,NA,NA,NA,NA,0.0855,0.0929,0.0830,-0.0740,-0.1115,NA,-0.3260,NA,NA
