"","year","hanging","science","drowning","cage","bedsheet","cheese","spiders","spelling"
"1",1999,5427,18.079,109,2,NA,NA,6,9
"2",2000,5688,18.594,102,2,327,29.8,5,8
"3",2001,6198,19.753,102,2,456,30.1,5,11
"4",2002,6462,20.734,98,3,509,30.5,10,12
"5",2003,6635,20.831,85,1,497,30.6,8,11
"6",2004,7336,23.029,95,1,596,31.3,14,13
"7",2005,7248,23.597,96,2,573,31.7,10,12
"8",2006,7491,23.584,98,3,661,32.6,4,9
"9",2007,8161,25.525,123,4,741,33.1,8,9
"10",2008,8578,27.731,94,1,809,32.7,5,7
"11",2009,9000,29.449,102,4,717,32.8,6,9
